,作答ID,用户ID,用户名,开始时间,结束时间,作答时长(秒),作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,随机元素,请选择你的性别,学校以及学院,年级,选择你所在家乡城市,您大学期间是否进行过兼职（包括实习）（）？,您对兼职的态度：,据您观察，兼职的学生学业受影响的程度如何？,是否考虑过找一份兼职？,您认为寻找兼职的困难可能有-兼职信息太少??,您认为寻找兼职的困难可能有-中介机构收费太高,您认为寻找兼职的困难可能有-担心受骗,您认为寻找兼职的困难可能有-选项难以找到心仪的兼职岗位,您认为寻找兼职的困难可能有-其他,您倾向于哪些类型的兼职？-工资高的兼职,您倾向于哪些类型的兼职？-与专业贴近的兼职,您倾向于哪些类型的兼职？-锻炼个人能力的兼职,您倾向于哪些类型的兼职？-自由度高的兼职,您倾向于哪些类型的兼职？-其他,您倾向于何时兼职?,您预期的兼职月薪是？,您未选择去兼职的原因是？-以学业为重,您未选择去兼职的原因是？-没有时间精力,您未选择去兼职的原因是？-有明确的人生规划,您未选择去兼职的原因是？-认为兼职没有意义，得不到锻炼,您未选择去兼职的原因是？-不了解或不感兴趣,您从事过几份兼职？,您曾从事的兼职的类型是-家教,您曾从事的兼职的类型是-校内助教,您曾从事的兼职的类型是-服务行业（含：餐厅、书店等实体店工作）,您曾从事的兼职的类型是-推销代理,您曾从事的兼职的类型是-企业实习?,您曾从事的兼职的类型是-体力劳动,您曾从事的兼职的类型是-其他兼职,您兼职的主要目的-赚取收入,您兼职的主要目的-锻炼能力,您兼职的主要目的-积累工作经验，为就业做准备,您兼职的主要目的-满足个人爱好（旅行、游戏、恋爱等,您兼职的主要目的-充实业余时间?????,您兼职的主要目的-其他,您获得兼职信息的途径：-线下海报或广告,您获得兼职信息的途径：-专门中介机构,您获得兼职信息的途径：-老师或同学介绍,您获得兼职信息的途径：-网络信息?,您获得兼职信息的途径：-主动向招聘方询问,您获得兼职信息的途径：-其他,您倾向于何时兼职?.1,您当时的兼职月薪是？,本题检测是否认真作答，你如何看待大学生就业形势,您有过哪些被骗经历-网络兼职陷阱（刷单、打字、APP试玩点赞等）,您有过哪些被骗经历-中介坑骗,您有过哪些被骗经历-虚假招聘信息,您有过哪些被骗经历-拖欠工资,您有过哪些被骗经历-其他方式被骗,您有过哪些被骗经历-无被骗经历,您受骗后采取的措施是什么,通过兼职您有哪些收获-专业水平,通过兼职您有哪些收获-常用技能,通过兼职您有哪些收获-沟通交流,通过兼职您有哪些收获-人情世故,通过兼职您有哪些收获-忍耐毅力,通过兼职您有哪些收获-职场经验,通过兼职您有哪些收获-其他收获,您的父母对于兼职的态度是什么样的？,校内与校外兼职，您倾向于哪个？,您在寻找校内兼职过程中遇到的困难有？-校内兼职机会少,您在寻找校内兼职过程中遇到的困难有？-校内兼职信息闭塞,您在寻找校内兼职过程中遇到的困难有？-校内兼职报酬低,您在寻找校内兼职过程中遇到的困难有？-没有心仪的兼职岗位,您在寻找校内兼职过程中遇到的困难有？-其他,校园内服务性兼职和科研或助教岗位您倾向于哪一个,11.3您在寻找校外兼职过程中遇到的困难有？-校外兼职机会少,11.3您在寻找校外兼职过程中遇到的困难有？-校外兼职信息闭塞,11.3您在寻找校外兼职过程中遇到的困难有？-校外兼职报酬低,11.3您在寻找校外兼职过程中遇到的困难有？-没有心仪的兼职岗位,11.3您在寻找校外兼职过程中遇到的困难有？-距离、时间等原因,11.3您在寻找校外兼职过程中遇到的困难有？-其他,校园外兼职岗位您倾向于哪一个,是否进行过或者准备进行企业实习？,您获取实习招聘信息的主要途径？（选1?3个）-学校推荐,您获取实习招聘信息的主要途径？（选1?3个）-自己找中介,您获取实习招聘信息的主要途径？（选1?3个）-学姐学长内推,您获取实习招聘信息的主要途径？（选1?3个）-教育机构内推,您获取实习招聘信息的主要途径？（选1?3个）-自己关注企业招聘信息,您获取实习招聘信息的主要途径？（选1?3个）-其他,您的实习时间是多久呢？,对于实习选择来讲，什么是您最看重的呢？,您实习的地点在？,您做实习工作与您的专业相关性是？,您认为您的实习的时间一般多久为宜呢？,对于实习来讲，什么是您相对看重的呢？？,您实习的地点更看重什么呢？,您希望您的实习工作与您的专业相关性是？,您觉得兼职对学业的影响程度是？,经历过兼职之后您对兼职的态度是？,您认为在您从事兼职的过程中受到的待遇是否公平？,您遇到过哪些不公平现象？-分配不均,您遇到过哪些不公平现象？-专业质疑,您遇到过哪些不公平现象？-抢功背锅,您遇到过哪些不公平现象？-加班压榨,您遇到过哪些不公平现象？-刁难排挤???,您遇到过哪些不公平现象？-其他不公平现象,您遇到的兼职单位对大学生有些哪要求-性别要求,您遇到的兼职单位对大学生有些哪要求-专业要求,您遇到的兼职单位对大学生有些哪要求-技能要求?,您遇到的兼职单位对大学生有些哪要求-院校要求,您遇到的兼职单位对大学生有些哪要求-地区要求,您遇到的兼职单位对大学生有些哪要求-民族要求,您遇到的兼职单位对大学生有些哪要求-外貌要求,您遇到的兼职单位对大学生有些哪要求-其他要求,您认为兼职对以后的职业选择是否有帮助？,兼职后，对于以后职业选择的方向是,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-提供很多兼职信息??,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-设立了专门机构，规范校内外兼职招聘市场?,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-帮助学生维护合法权益?,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-提供许多校内的兼职岗位,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-帮忙联系实习单位?,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-不了解,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-其他,在您看来，您的大学着重培养学生哪些方面的能力？-逻辑思维,在您看来，您的大学着重培养学生哪些方面的能力？-提升眼界,在您看来，您的大学着重培养学生哪些方面的能力？-专业知识,在您看来，您的大学着重培养学生哪些方面的能力？-专业技能应用,在您看来，您的大学着重培养学生哪些方面的能力？-德智体美劳全面发展,在您看来，您的大学着重培养学生哪些方面的能力？-其他能力,在您看来，招聘单位通常更青睐具备哪些特点的人才？-专业理论扎实,在您看来，招聘单位通常更青睐具备哪些特点的人才？-专业技能丰富,在您看来，招聘单位通常更青睐具备哪些特点的人才？-涉猎专业多元,在您看来，招聘单位通常更青睐具备哪些特点的人才？-较强的应变能力,您对未来工作的期望：
2,7XAkgPGL,37KOkkO7,cdm****5Wpzy,2022-2-17 22:37,2022-2-17 22:40,225,1,NriUJr,大学生兼职调查,112.47.113.139,118.602222,24.669889,福建省,3,MOBILE,Android,weixin,360px*770px,,女,1,3,福建省，福州市,是,,,,,,,,,,,,,,,,,,,,,6,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,周末,3001?5000元,非常不满意,0,0,0,0,0,1,,1,1,1,1,0,0,0,0,校外,,,,,,,0,1,1,1,0,0,实习、研发等与专业相关、有一定难度的兼职?,准备进行,,,,,,,,,,,二到四个月,公司层次和品牌形象,一线城市,密切密切,6,6,存在较少不公平现象,,,,,,,0,1,1,0,1,0,0,0,很有帮助,正式职业希望继续从事兼职做过的职业,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,有归属感和社交（单位氛围暖心，与同事关系融洽）
3,M9X0AO4e,veEAKVve,cdm****xbfAi,2022-2-17 20:37,2022-2-17 20:40,178,1,NriUJr,大学生兼职调查,49.52.96.48,121.385089,31.320535,上海市,1,MOBILE,Android,weixin,393px*873px,,女,1,6,广东省，广州市,是,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,工作日,501-1000元,非常不满意,0,0,0,0,0,1,,0,0,1,1,0,1,0,0,校内,1,1,1,1,0,助教、科研、实验室助手等?,,,,,,,,准备进行,,,,,,,,,,,一个月,实习条件和薪资待遇,一线城市,密切密切,4,4,存在较少不公平现象,,,,,,,0,1,1,0,0,0,0,0,有一点帮助,正式职业不会选择绝大多数做过的兼职,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,满足安全需要（工作稳定，很少有焦虑）
4,MdP1j3QM,me3dVW2M,cdm****3GOx2,2022-2-17 20:31,2022-2-17 20:34,202,1,NriUJr,大学生兼职调查,120.231.61.11,110.94646,22.34306,广东省,5,COMPUTER,Windows,Chrome,1280px*720px,,女,1,2,广东省，茂名市,是,,,,,,,,,,,,,,,,,,,,,3,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,工作日,501-1000元,非常不满意,0,0,0,0,0,1,,0,1,1,1,1,0,0,1,校外,,,,,,,0,0,0,1,1,0,实习、研发等与专业相关、有一定难度的兼职?,准备进行,,,,,,,,,,,四到六个月,实习条件和薪资待遇,学校所在城市,密切密切,5,6,存在较少不公平现象,,,,,,,1,1,1,0,0,0,0,0,很有帮助,正式职业之外可以继续保持该兼职,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,满足自我实现需要（激发潜能，实现自己的价值）
5,Mx2zWy0L,27an5awL,cdm****vzAcC,2022-2-17 20:16,2022-2-17 20:21,343,1,NriUJr,大学生兼职调查,113.82.142.74,115.916705,22.844166,广东省,5,MOBILE,Android,weixin,393px*851px,,女,2,3,广东省，汕尾市,是,,,,,,,,,,,,,,,,,,,,,3,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,寒暑假,1001?2000元,非常不满意,0,0,0,1,1,0,寻求家长、老师帮助,0,0,0,1,1,0,1,1,校内,1,0,1,1,0,校内服务型兼职（餐厅兼职、校园推广等）,,,,,,,,进行过,1,0,0,0,0,0,一个月,与专业的相关性,一线城市,密切密切,,,,,3,4,存在较少不公平现象,,,,,,,1,0,0,0,0,0,1,1,基本没有帮助,,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,满足自我实现需要（激发潜能，实现自己的价值）
6,7j9QvWBM,2Mdq6lb7,仿**有光,2022-2-17 20:14,2022-2-17 20:21,452,1,NriUJr,大学生兼职调查,111.52.49.20,110.82127,37.003378,山西省,6,MOBILE,Android,weixin,360px*770px,,女,2,3,陕西省，西安市,是,,,,,,,,,,,,,,,,,,,,,3,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,周末,1001?2000元,非常不满意,0,0,1,0,0,0,向相关部门投诉,1,1,1,1,1,1,0,0,校外,,,,,,,0,1,0,1,1,0,时间短暂来钱快上手快的兼职,准备进行,,,,,,,,,,,一到二个月,实习条件和薪资待遇,一线城市,较多联系,6,6,存在较少不公平现象,,,,,,,0,1,1,1,0,0,0,0,很有帮助,正式职业希望继续从事兼职做过的职业,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,满足基本生活需要（满足日常基本的衣食住行和睡眠）
7,LGBAKv07,WLGAggEM,cdm****zsrXa,2022-2-17 20:14,2022-2-17 20:19,306,1,NriUJr,大学生兼职调查,49.93.99.190,118.753091,34.520295,江苏省,4,MOBILE,Android,Chrome,360px*804px,,男,1,1,江苏省，连云港市,是,,,,,,,,,,,,,,,,,,,,,3,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,寒暑假,2001-3000 元,非常不满意,0,0,0,0,0,1,,1,1,1,0,0,0,0,1,校外,,,,,,,0,0,0,0,1,0,时间短暂来钱快上手快的兼职,暂时没有打算,,,,,,,,,,,,,,,5,6,公平,,,,,,,0,1,1,0,0,0,0,0,有一点帮助,正式职业不会选择少数做过的兼职,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,满足自我实现需要（激发潜能，实现自己的价值）
8,ev9lWVbL,37KO26K7,cdm****q4Yex,2022-2-17 20:12,2022-2-17 20:18,400,1,NriUJr,大学生兼职调查,115.63.168.42,112.3957,34.65774,河南省,4,COMPUTER,Windows,weixin,1280px*720px,,男,1,4,河南省，洛阳市,是,,,,,,,,,,,,,,,,,,,,,6,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,寒暑假,1001?2000元,非常不满意,0,0,1,1,0,0,忍气吞声，自认倒霉,0,0,1,0,1,0,0,1,校外,,,,,,,0,1,1,0,0,0,实习、研发等与专业相关、有一定难度的兼职?,进行过,1,1,1,0,0,0,一到二个月,公司层次和品牌形象,学校所在城市,较少联系,,,,,4,3,存在较多不公平现象,1,0,0,1,1,0,0,1,1,1,0,0,0,0,有一点帮助,正式职业不会选择绝大多数做过的兼职,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,满足自我实现需要（激发潜能，实现自己的价值）
9,e5yNAw8e,veEwbZW7,鳗*,2022-2-17 20:14,2022-2-17 20:18,278,1,NriUJr,大学生兼职调查,202.120.8.158,121.4395387,31.0318094,上海市,1,MOBILE,iOS,weixin,390px*844px,,女,1,8,河南省，周口市,是,,,,,,,,,,,,,,,,,,,,,6,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,周末,501-1000元,非常不满意,0,0,0,0,0,1,,0,1,1,1,0,1,0,1,校内,0,0,1,0,1,助教、科研、实验室助手等?,,,,,,,,进行过,0,0,0,1,1,0,一到二个月,实习条件和薪资待遇,一线城市,较少联系,,,,,4,6,公平,,,,,,,0,1,1,0,0,0,0,0,有一点帮助,正式职业不会选择绝大多数做过的兼职,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,满足自我实现需要（激发潜能，实现自己的价值）
11,en9gWpmL,5M2GR4N7,cdm****G4kbk,2022-2-17 20:12,2022-2-17 20:15,226,1,NriUJr,大学生兼职调查,36.142.153.3,104.8478,34.6403,甘肃省,6,MOBILE,Android,weixin,360px*803px,,女,2,1,甘肃省，兰州市,是,,,,,,,,,,,,,,,,,,,,,3,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,寒暑假,2001-3000 元,非常不满意,0,0,0,0,0,1,,0,0,1,0,1,1,0,0,校外,,,,,,,0,0,1,1,1,0,实习、研发等与专业相关、有一定难度的兼职?,准备进行,,,,,,,,,,,二到四个月,与专业的相关性,家乡城市,较多联系,4,5,存在较多不公平现象,1,0,1,1,1,0,0,0,1,0,0,0,0,1,有一点帮助,正式职业之外可以继续保持该兼职,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,有归属感和社交（单位氛围暖心，与同事关系融洽）
13,eyPbWYEL,WLGA3KpM,轻,2022-2-17 20:12,2022-2-17 20:15,182,1,NriUJr,大学生兼职调查,117.136.79.190,110.940801,21.683796,广东省,5,MOBILE,iOS,Apple WebKit,375px*812px,,女,3,2,广东省，茂名市,是,,,,,,,,,,,,,,,,,,,,,3,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,周末,501-1000元,非常不满意,0,0,0,0,0,1,,0,0,1,1,1,1,0,1,校内,1,1,0,0,0,助教、科研、实验室助手等?,,,,,,,,准备进行,,,,,,,,,,,二到四个月,与专业的相关性,一线城市,较多联系,5,5,存在较少不公平现象,,,,,,,0,1,1,0,0,0,0,0,有一点帮助,正式职业不会选择绝大多数做过的兼职,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,满足基本生活需要（满足日常基本的衣食住行和睡眠）
