,作答ID,用户ID,用户名,开始时间,结束时间,作答时长(秒),作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,随机元素,请选择你的性别,学校以及学院,年级,选择你所在家乡城市,您大学期间是否进行过兼职（包括实习）（）？,您对兼职的态度：,据您观察，兼职的学生学业受影响的程度如何？,是否考虑过找一份兼职？,您认为寻找兼职的困难可能有-兼职信息太少??,您认为寻找兼职的困难可能有-中介机构收费太高,您认为寻找兼职的困难可能有-担心受骗,您认为寻找兼职的困难可能有-选项难以找到心仪的兼职岗位,您认为寻找兼职的困难可能有-其他,您倾向于哪些类型的兼职？-工资高的兼职,您倾向于哪些类型的兼职？-与专业贴近的兼职,您倾向于哪些类型的兼职？-锻炼个人能力的兼职,您倾向于哪些类型的兼职？-自由度高的兼职,您倾向于哪些类型的兼职？-其他,您倾向于何时兼职?,您预期的兼职月薪是？,您未选择去兼职的原因是？-以学业为重,您未选择去兼职的原因是？-没有时间精力,您未选择去兼职的原因是？-有明确的人生规划,您未选择去兼职的原因是？-认为兼职没有意义，得不到锻炼,您未选择去兼职的原因是？-不了解或不感兴趣,您从事过几份兼职？,您曾从事的兼职的类型是-家教,您曾从事的兼职的类型是-校内助教,您曾从事的兼职的类型是-服务行业（含：餐厅、书店等实体店工作）,您曾从事的兼职的类型是-推销代理,您曾从事的兼职的类型是-企业实习?,您曾从事的兼职的类型是-体力劳动,您曾从事的兼职的类型是-其他,您兼职的主要目的-赚取收入,您兼职的主要目的-锻炼能力,您兼职的主要目的-积累工作经验，为就业做准备,您兼职的主要目的-满足个人爱好（旅行、游戏、恋爱等,您兼职的主要目的-充实业余时间?????,您兼职的主要目的-其他,您获得兼职信息的途径：-线下海报或广告,您获得兼职信息的途径：-专门中介机构,您获得兼职信息的途径：-老师或同学介绍,您获得兼职信息的途径：-网络信息?,您获得兼职信息的途径：-主动向招聘方询问,您获得兼职信息的途径：-其他,您倾向于何时兼职?.1,您当时的兼职月薪是？,本题检测是否认真作答，你如何看待大学生就业形势,您有过哪些被骗经历-网络兼职陷阱（刷单、打字、APP试玩点赞等）,您有过哪些被骗经历-中介坑骗,您有过哪些被骗经历-虚假招聘信息,您有过哪些被骗经历-拖欠工资,您有过哪些被骗经历-其他方式被骗,您有过哪些被骗经历-无被骗经历,您受骗后采取的措施是什么,通过兼职您有哪些收获-专业水平,通过兼职您有哪些收获-常用技能,通过兼职您有哪些收获-沟通交流,通过兼职您有哪些收获-人情世故,通过兼职您有哪些收获-忍耐毅力,通过兼职您有哪些收获-职场经验,通过兼职您有哪些收获-其他,您的父母对于兼职的态度是什么样的？,校内与校外兼职，您倾向于哪个？,您在寻找校内兼职过程中遇到的困难有？-校内兼职机会少,您在寻找校内兼职过程中遇到的困难有？-校内兼职信息闭塞,您在寻找校内兼职过程中遇到的困难有？-校内兼职报酬低,您在寻找校内兼职过程中遇到的困难有？-没有心仪的兼职岗位,您在寻找校内兼职过程中遇到的困难有？-其他,校园内服务性兼职和科研或助教岗位您倾向于哪一个,11.3您在寻找校外兼职过程中遇到的困难有？-校外兼职机会少,11.3您在寻找校外兼职过程中遇到的困难有？-校外兼职信息闭塞,11.3您在寻找校外兼职过程中遇到的困难有？-校外兼职报酬低,11.3您在寻找校外兼职过程中遇到的困难有？-没有心仪的兼职岗位,11.3您在寻找校外兼职过程中遇到的困难有？-距离、时间等原因,11.3您在寻找校外兼职过程中遇到的困难有？-其他,校园外兼职岗位您倾向于哪一个,是否进行过或者准备进行企业实习？,您获取实习招聘信息的主要途径？（选1?3个）-学校推荐,您获取实习招聘信息的主要途径？（选1?3个）-自己找中介,您获取实习招聘信息的主要途径？（选1?3个）-学姐学长内推,您获取实习招聘信息的主要途径？（选1?3个）-教育机构内推,您获取实习招聘信息的主要途径？（选1?3个）-自己关注企业招聘信息,您获取实习招聘信息的主要途径？（选1?3个）-其他,您的实习时间是多久呢？,对于实习选择来讲，什么是您最看重的呢？,您实习的地点在？,您做实习工作与您的专业相关性是？,您认为您的实习的时间一般多久为宜呢？,对于实习来讲，什么是您相对看重的呢？？,您实习的地点更看重什么呢？,您希望您的实习工作与您的专业相关性是？,您觉得兼职对学业的影响程度是？,经历过兼职之后您对兼职的态度是？,您认为在您从事兼职的过程中受到的待遇是否公平？,您遇到过哪些不公平现象？-分配不均,您遇到过哪些不公平现象？-专业质疑,您遇到过哪些不公平现象？-抢功背锅,您遇到过哪些不公平现象？-加班压榨,您遇到过哪些不公平现象？-刁难排挤???,您遇到过哪些不公平现象？-其他,您遇到的兼职单位对大学生有些哪要求-性别要求,您遇到的兼职单位对大学生有些哪要求-专业要求,您遇到的兼职单位对大学生有些哪要求-技能要求?,您遇到的兼职单位对大学生有些哪要求-院校要求,您遇到的兼职单位对大学生有些哪要求-地区要求,您遇到的兼职单位对大学生有些哪要求-民族要求,您遇到的兼职单位对大学生有些哪要求-外貌要求,您遇到的兼职单位对大学生有些哪要求-其他要求,您认为兼职对以后的职业选择是否有帮助？,兼职后，对于以后职业选择的方向是,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-提供很多兼职信息??,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-设立了专门机构，规范校内外兼职招聘市场?,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-帮助学生维护合法权益?,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-提供许多校内的兼职岗位,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-帮忙联系实习单位?,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-不了解,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-其他,在您看来，您的大学着重培养学生哪些方面的能力？-逻辑思维,在您看来，您的大学着重培养学生哪些方面的能力？-提升眼界,在您看来，您的大学着重培养学生哪些方面的能力？-专业知识,在您看来，您的大学着重培养学生哪些方面的能力？-专业技能应用,在您看来，您的大学着重培养学生哪些方面的能力？-德智体美劳全面发展,在您看来，您的大学着重培养学生哪些方面的能力？-其他,在您看来，招聘单位通常更青睐具备哪些特点的人才？-专业理论扎实,在您看来，招聘单位通常更青睐具备哪些特点的人才？-专业技能丰富,在您看来，招聘单位通常更青睐具备哪些特点的人才？-涉猎专业多元,在您看来，招聘单位通常更青睐具备哪些特点的人才？-较强的应变能力,您对未来工作的期望：
0,作答ID,用户ID,用户名,开始时间,结束时间,作答时长,作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,随机元素,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q18,Q19,Q20,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q25,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q28,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q30,Q31,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Q45_6,Q45_7,Q45_8,Q46,Q47,Q48_1,Q48_2,Q48_3,Q48_4,Q48_5,Q48_6,Q48_7,Q49_1,Q49_2,Q49_3,Q49_4,Q49_5,Q49_6,Q51_1,Q51_2,Q51_3,Q51_4,Q52
1,M9X0AO4e,veEAKVve,cdm****xbfAi,2022-02-17 20:37:07,2022-02-17 20:40:05,178,1,NriUJr,大学生兼职调查,49.52.96.48,121.3850890,31.3205350,上海市,市辖区,MOBILE,Android,weixin,393px*873px,,女,上海大学医学院,研二,广东省，广州市,是,,,,,,,,,,,,,,,,,,,,,1份,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,工作日,501-1000元,非常不满意,0,0,0,0,0,1,,0,0,1,1,0,1,0,中立,校内,1,1,1,1,0,助教、科研、实验室助手等?,,,,,,,,准备进行,,,,,,,,,,,一个月,实习条件和薪资待遇,一线城市,密切密切,4,4,存在较少不公平现象,,,,,,,0,1,1,0,0,0,0,0,有一点帮助,正式职业不会选择绝大多数做过的兼职,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,满足安全需要（工作稳定，很少有焦虑）
2,e5yNAw8e,veEwbZW7,鳗*,2022-02-17 20:14:13,2022-02-17 20:18:51,278,1,NriUJr,大学生兼职调查,202.120.8.158,121.4395387,31.0318094,上海市,市辖区,MOBILE,iOS,weixin,390px*844px,,女,上海交通大学 生科,博士,河南省，周口市,是,,,,,,,,,,,,,,,,,,,,,4-7份,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,周末,501-1000元,非常不满意,0,0,0,0,0,1,,0,1,1,1,0,1,0,支持,校内,0,0,1,0,1,助教、科研、实验室助手等?,,,,,,,,进行过,0,0,0,1,1,0,一到二个月,实习条件和薪资待遇,一线城市,较少联系,,,,,4,6,公平,,,,,,,0,1,1,0,0,0,0,0,有一点帮助,正式职业不会选择绝大多数做过的兼职,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,满足自我实现需要（激发潜能，实现自己的价值）
3,e4BApO67,kMrmmEpe,摘**月光,2022-02-17 20:05:57,2022-02-17 20:08:47,170,1,NriUJr,大学生兼职调查,221.223.198.214,116.3362100,39.8892600,北京市,市辖区,COMPUTER,Windows,Chrome,1334px*889px,,女,华东政法大学 传播学院,研一,北京市，市辖区,是,,,,,,,,,,,,,,,,,,,,,2-3份,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,寒暑假,2001-3000 元,非常不满意,0,0,0,0,0,1,,1,0,1,0,0,1,0,支持,校外,,,,,,,0,1,1,0,1,0,实习、研发等与专业相关、有一定难度的兼职?,进行过,1,0,1,0,1,0,二到四个月,公司层次和品牌形象,一线城市,密切密切,,,,,5,5,存在较少不公平现象,,,,,,,0,1,1,1,0,0,0,0,很有帮助,正式职业希望继续从事兼职做过的职业,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,满足安全需要（工作稳定，很少有焦虑）
4,Lm9qEmzL,5M2AWPqe,R**tth,2022-02-17 16:19:54,2022-02-17 16:23:22,208,1,NriUJr,大学生兼职调查,159.226.35.199,116.2984500,39.9593300,北京市,市辖区,COMPUTER,Windows,weixin,1920px*1080px,,女,中国科学院大学物理科学学院,研二,山东省，济南市,是,,,,,,,,,,,,,,,,,,,,,2-3份,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,寒暑假,1001?2000元,非常不满意,0,0,0,0,0,1,,0,0,1,1,1,0,0,支持,校内,0,1,1,0,0,助教、科研、实验室助手等?,,,,,,,,暂时没有打算,,,,,,,,,,,,,,,4,5,存在较少不公平现象,,,,,,,1,1,1,1,0,0,0,0,有一点帮助,正式职业不会选择绝大多数做过的兼职,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,满足自我实现需要（激发潜能，实现自己的价值）
5,MZqy8qve,J7qldRqM,***,2022-02-17 16:13:22,2022-02-17 16:17:27,245,1,NriUJr,大学生兼职调查,183.228.176.150,108.4360080,30.7582580,重庆市,市辖区,COMPUTER,Windows,Chrome,1280px*720px,,女,四川外国语大学,大二,重庆市，市辖区,是,,,,,,,,,,,,,,,,,,,,,2-3份,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,周末,500元及以下,非常不满意,1,1,0,0,0,0,忍气吞声，自认倒霉,0,0,1,1,1,0,0,支持,校外,,,,,,,0,0,0,1,1,0,时间短暂来钱快上手快的兼职,暂时没有打算,,,,,,,,,,,,,,,4,5,存在较少不公平现象,,,,,,,1,1,1,0,1,0,1,0,有一点帮助,正式职业不会选择绝大多数做过的兼职,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,满足安全需要（工作稳定，很少有焦虑）
6,M9X01X4e,0eybdEPM,著名***定家,2022-02-17 16:13:51,2022-02-17 16:16:41,170,1,NriUJr,大学生兼职调查,1.89.126.62,116.0842530,39.9480330,北京市,市辖区,MOBILE,Android,weixin,360px*748px,,女,北京城市学院城建学部,大三,北京市，市辖区,是,,,,,,,,,,,,,,,,,,,,,1份,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,寒暑假,1001?2000元,非常不满意,0,0,0,0,0,1,,0,0,1,1,1,0,0,中立,校外,,,,,,,1,0,1,0,1,0,时间短暂来钱快上手快的兼职,暂时没有打算,,,,,,,,,,,,,,,3,3,存在较多不公平现象,0,0,0,0,1,0,1,0,1,0,0,0,0,0,有一点帮助,正式职业不会选择绝大多数做过的兼职,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,有归属感和社交（单位氛围暖心，与同事关系融洽）
7,7lO8q64M,WMRE6X5e,博*,2022-02-17 16:07:06,2022-02-17 16:09:42,156,1,NriUJr,大学生兼职调查,1.202.143.108,116.3456691,39.9649018,北京市,市辖区,MOBILE,iOS,weixin,390px*844px,,男,中央民族大学文学院,研二,浙江省，嘉兴市,是,,,,,,,,,,,,,,,,,,,,,2-3份,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,周末,1001?2000元,非常不满意,0,0,0,0,0,1,,1,0,1,1,1,0,0,支持,校内,1,1,1,0,0,助教、科研、实验室助手等?,,,,,,,,进行过,0,0,1,0,1,0,二到四个月,与专业的相关性,一线城市,密切密切,,,,,5,6,公平,,,,,,,0,1,1,1,1,0,0,0,有一点帮助,正式职业希望继续从事兼职做过的职业,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,满足基本生活需要（满足日常基本的衣食住行和睡眠）
8,eP2Okzy7,27awWqVe,cdm****NKgbt,2022-02-17 16:01:46,2022-02-17 16:05:04,198,1,NriUJr,大学生兼职调查,112.64.119.224,121.3723297,31.6741180,上海市,市辖区,MOBILE,iOS,weixin,414px*736px,,女,北京师范大学心理学部,大四,福建省，漳州市,是,,,,,,,,,,,,,,,,,,,,,2-3份,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,工作日,2001-3000 元,非常不满意,0,0,0,0,0,1,,0,1,1,0,0,1,0,支持,校外,,,,,,,0,1,1,0,1,0,实习、研发等与专业相关、有一定难度的兼职?,进行过,0,0,0,0,1,0,二到四个月,公司层次和品牌形象,一线城市,较少联系,,,,,4,7,公平,,,,,,,0,1,1,0,0,0,0,0,有一点帮助,正式职业不会选择少数做过的兼职,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,满足自我实现需要（激发潜能，实现自己的价值）
9,7KvOzJ6M,ve8gbjBL,z*c,2022-02-17 12:27:07,2022-02-17 12:35:54,527,1,NriUJr,大学生兼职调查,101.87.170.135,121.4782230,31.2283570,上海市,市辖区,COMPUTER,Windows,Chrome,1920px*1080px,,女,辽宁大学法学院,大四,辽宁省，铁岭市,是,,,,,,,,,,,,,,,,,,,,,1份,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,工作日,1001?2000元,非常不满意,0,0,0,0,0,1,,1,0,1,1,0,1,0,支持,校外,,,,,,,1,1,0,0,1,0,实习、研发等与专业相关、有一定难度的兼职?,进行过,1,0,1,0,1,0,四到六个月,与专业的相关性,学校所在城市,密切密切,,,,,7,7,存在较少不公平现象,,,,,,,0,1,1,1,0,0,0,0,很有帮助,正式职业希望继续从事兼职做过的职业,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,满足安全需要（工作稳定，很少有焦虑）
10,7qXd50pM,p7YNkwWL,cdm****TKZn6,2022-02-17 12:27:35,2022-02-17 12:31:58,263,1,NriUJr,大学生兼职调查,61.181.236.231,117.1821340,39.1064650,天津市,市辖区,MOBILE,Android,Chrome,360px*760px,,女,天津医科大学生物医学工程学院,博士,甘肃省，武威市,是,,,,,,,,,,,,,,,,,,,,,2-3份,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,周末,501-1000元,非常不满意,0,0,0,0,0,1,,0,0,0,0,0,0,1,支持,校内,1,1,1,1,0,助教、科研、实验室助手等?,,,,,,,,暂时没有打算,,,,,,,,,,,,,,,6,7,存在较少不公平现象,,,,,,,1,0,0,0,0,0,1,0,基本没有帮助,,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,满足自我实现需要（激发潜能，实现自己的价值）
11,LOyOz6xM,27aQpzN7,暗*璇玑,2022-02-17 12:17:23,2022-02-17 12:21:53,270,1,NriUJr,大学生兼职调查,117.185.148.230,121.4278320,31.1286660,上海市,市辖区,MOBILE,Android,Chrome,360px*800px,,女,上海应用技术大学 香料香精化妆品学院,大四,上海市，市辖区,是,,,,,,,,,,,,,,,,,,,,,4-7份,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,寒暑假,3001?5000元,非常不满意,0,0,0,0,0,1,,1,1,1,1,0,1,0,支持,校外,,,,,,,0,1,0,1,1,0,实习、研发等与专业相关、有一定难度的兼职?,准备进行,,,,,,,,,,,二到四个月,公司层次和品牌形象,一线城市,较多联系,5,6,公平,,,,,,,0,1,1,0,0,0,0,0,有一点帮助,正式职业希望继续从事兼职做过的职业,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,满足安全需要（工作稳定，很少有焦虑）
12,L0mDk5je,z7lR2NJe,认真***调研,2022-02-16 18:14:29,2022-02-16 18:18:30,241,1,NriUJr,大学生兼职调查,120.204.129.35,121.3498140,30.7141460,上海市,市辖区,MOBILE,iOS,Apple WebKit,414px*896px,,女,中国药科大学药学院,研二,安徽省，滁州市,是,,,,,,,,,,,,,,,,,,,,,2-3份,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,周末,1001?2000元,非常不满意,0,0,0,0,0,1,,0,0,1,1,0,0,0,支持,校外,,,,,,,1,0,1,1,1,0,时间短暂来钱快上手快的兼职,准备进行,,,,,,,,,,,一到二个月,公司层次和品牌形象,家乡城市,密切密切,4,5,公平,,,,,,,0,1,0,0,0,1,1,0,很有帮助,正式职业不会选择绝大多数做过的兼职,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,满足自我实现需要（激发潜能，实现自己的价值）
13,eyPba6GL,5M2Bzv8M,cdm****Al2Hc,2022-02-16 17:15:48,2022-02-16 17:20:39,291,1,NriUJr,大学生兼职调查,117.135.86.61,121.4276210,31.4072610,上海市,市辖区,MOBILE,Android,weixin,360px*800px,,女,上海师范大学影视传媒学院,大二,上海市，市辖区,是,,,,,,,,,,,,,,,,,,,,,1份,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,寒暑假,1001?2000元,非常不满意,0,0,1,0,1,0,忍气吞声，自认倒霉,0,0,1,1,0,0,0,中立,校内,1,0,1,1,0,助教、科研、实验室助手等?,,,,,,,,准备进行,,,,,,,,,,,一到二个月,与专业的相关性,家乡城市,较多联系,5,3,公平,,,,,,,0,1,1,0,0,0,0,1,有一点帮助,正式职业不会选择少数做过的兼职,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,有归属感和社交（单位氛围暖心，与同事关系融洽）
14,LOyO1oXM,xLVjRXlL,Y*31,2022-02-16 17:04:41,2022-02-16 17:10:48,367,1,NriUJr,大学生兼职调查,223.104.38.145,116.3248610,40.0073960,北京市,市辖区,MOBILE,Android,Chrome,393px*851px,,女,清华大学 工业工程系,大四,山东省，淄博市,是,,,,,,,,,,,,,,,,,,,,,4-7份,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,寒暑假,1001?2000元,非常不满意,0,0,0,0,0,1,,0,1,1,1,0,1,0,支持,校内,0,1,0,0,0,校内服务型兼职（餐厅兼职、校园推广等）,,,,,,,,进行过,1,0,0,0,0,0,一到二个月,公司层次和品牌形象,一线城市,密切密切,,,,,6,6,公平,,,,,,,0,1,1,1,0,0,0,0,很有帮助,正式职业希望继续从事兼职做过的职业,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,满足自我实现需要（激发潜能，实现自己的价值）
15,e8YAdNWM,AM90bnRe,h*lo,2022-02-16 16:55:46,2022-02-16 17:10:31,885,1,NriUJr,大学生兼职调查,125.81.178.184,107.8103050,29.3270500,重庆市,市辖区,MOBILE,Android,weixin,381px*824px,,女,长江师范学院传媒学院,大二,重庆市，市辖区,是,,,,,,,,,,,,,,,,,,,,,2-3份,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,寒暑假,2001-3000 元,非常不满意,1,1,0,1,0,0,寻求家长、老师帮助,0,0,1,1,1,1,0,支持,校外,,,,,,,0,0,1,1,1,0,时间短暂来钱快上手快的兼职,准备进行,,,,,,,,,,,二到四个月,实习条件和薪资待遇,家乡城市,较少联系,5,7,存在较少不公平现象,,,,,,,0,0,1,0,1,0,0,1,有一点帮助,正式职业不会选择绝大多数做过的兼职,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,满足自我实现需要（激发潜能，实现自己的价值）
16,en9gg3WL,G7XkQv8M,cdm****Y7bub,2022-02-16 16:37:33,2022-02-16 16:41:39,246,1,NriUJr,大学生兼职调查,111.199.81.103,116.5139840,39.9110510,北京市,市辖区,MOBILE,Android,weixin,360px*792px,,女,首都师范大学政法学院,研一,河南省，周口市,是,,,,,,,,,,,,,,,,,,,,,1份,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,寒暑假,501-1000元,非常不满意,0,0,0,0,0,1,,1,0,1,0,0,0,0,支持,校内,0,0,0,1,0,助教、科研、实验室助手等?,,,,,,,,暂时没有打算,,,,,,,,,,,,,,,3,3,存在较少不公平现象,,,,,,,1,1,0,1,0,0,0,0,有一点帮助,正式职业之外可以继续保持该兼职,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,满足自我实现需要（激发潜能，实现自己的价值）
17,M28AAzqL,QL0KZgN7,cdm****sdBjw,2022-02-16 16:26:23,2022-02-16 16:31:13,290,1,NriUJr,大学生兼职调查,117.136.8.131,121.4806590,31.2536710,上海市,市辖区,MOBILE,Android,weixin,393px*824px,,女,华东理工大学商学院,大三,上海市，市辖区,是,,,,,,,,,,,,,,,,,,,,,1份,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,工作日,2001-3000 元,非常不满意,0,0,0,0,0,1,,1,0,1,1,0,1,0,支持,校外,,,,,,,0,0,0,0,1,0,实习、研发等与专业相关、有一定难度的兼职?,进行过,1,1,1,0,0,0,一到二个月,公司层次和品牌形象,一线城市,密切密切,,,,,5,6,公平,,,,,,,0,1,1,0,0,0,0,0,很有帮助,正式职业希望继续从事兼职做过的职业,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,有归属感和社交（单位氛围暖心，与同事关系融洽）
18,MDPxx23M,leNQZ8JL,等*,2022-02-16 16:16:26,2022-02-16 16:28:30,724,1,NriUJr,大学生兼职调查,218.1.18.210,121.4106900,31.4326770,上海市,市辖区,MOBILE,Android,Chrome,360px*780px,,男,上海工程技术大学航空运输学院,大四,安徽省，淮南市,是,,,,,,,,,,,,,,,,,,,,,10份以上,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,周末,501-1000元,非常不满意,0,0,1,1,0,0,寻求家长、老师帮助,1,1,1,1,1,1,0,支持,校内,1,0,1,1,0,助教、科研、实验室助手等?,,,,,,,,进行过,0,0,0,0,1,0,一到二个月,与专业的相关性,一线城市,较多联系,,,,,5,6,存在较少不公平现象,,,,,,,0,1,1,1,0,1,0,0,很有帮助,正式职业希望继续从事兼职做过的职业,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,满足自我实现需要（激发潜能，实现自己的价值）
19,e5yNNJKe,5M2Avyle,cdm****ypPIu,2022-02-16 16:13:46,2022-02-16 16:15:48,122,1,NriUJr,大学生兼职调查,10.92.46.255,117.1517830,39.1423080,天津市,市辖区,COMPUTER,Mac OS X,Safari,1440px*900px,,女,天津师范大学 外国语,大二,天津市，市辖区,否,无所谓,3,有过,0,1,1,0,0,1,1,0,0,0,寒暑假,2001-3000 元,,,,,,,,,,,,,,,,,,,,,,,,,,,,非常不满意,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,满足基本生活需要（满足日常基本的衣食住行和睡眠）
