,类别,频次,百分数
0,河南省，南阳市,12,0.02
1,江西省，赣州市,9,0.015
2,河南省，洛阳市,8,0.013300000000000001
3,河南省，信阳市,7,0.011699999999999999
4,湖北省，襄阳市,6,0.01
5,广东省，汕头市,6,0.01
6,山东省，临沂市,5,0.0083
7,福建省，漳州市,5,0.0083
8,山东省，潍坊市,5,0.0083
9,湖南省，衡阳市,5,0.0083
10,新疆维吾尔自治区，乌鲁木齐市,4,0.0067
11,江苏省，连云港市,4,0.0067
12,河南省，新乡市,4,0.0067
13,河北省，唐山市,4,0.0067
14,广西壮族自治区，桂林市,4,0.0067
15,广东省，湛江市,4,0.0067
16,山东省，淄博市,4,0.0067
17,湖南省，岳阳市,4,0.0067
18,广东省，肇庆市,3,0.005
19,河北省，沧州市,3,0.005
20,广东省，梅州市,3,0.005
21,广东省，揭阳市,3,0.005
22,河北省，保定市,3,0.005
23,山东省，泰安市,3,0.005
24,安徽省，阜阳市,3,0.005
25,江苏省，宿迁市,3,0.005
26,广西壮族自治区，柳州市,3,0.005
27,河北省，邯郸市,3,0.005
28,湖南省，株洲市,3,0.005
29,广东省，江门市,2,0.0033
30,河南省，商丘市,2,0.0033
31,湖南省，郴州市,2,0.0033
32,广东省，潮州市,2,0.0033
33,贵州省，遵义市,2,0.0033
34,安徽省，蚌埠市,2,0.0033
35,山东省，济宁市,2,0.0033
36,江西省，上饶市,2,0.0033
37,江西省，九江市,1,0.0017000000000000001
38,安徽省，安庆市,1,0.0017000000000000001
39,浙江省，湖州市,1,0.0017000000000000001
40,内蒙古自治区，呼和浩特市,1,0.0017000000000000001
41,江苏省，淮安市,1,0.0017000000000000001
42,福建省，宁德市,1,0.0017000000000000001
43,江苏省，镇江市,1,0.0017000000000000001
44,河北省，秦皇岛市,1,0.0017000000000000001
45,安徽省，芜湖市,1,0.0017000000000000001
46,陕西省，咸阳市,1,0.0017000000000000001
47,河北省，廊坊市,1,0.0017000000000000001
48,安徽省，滁州市,1,0.0017000000000000001
49,湖南省，湘潭市,1,0.0017000000000000001
50,吉林省，吉林市,1,0.0017000000000000001
51,广东省，清远市,1,0.0017000000000000001
52,湖北省，宜昌市,1,0.0017000000000000001
53,江苏省，泰州市,1,0.0017000000000000001
54,浙江省，丽水市,1,0.0017000000000000001
