,类别,频次,百分数
0,河南省，周口市,10,0.0167
1,广东省，茂名市,9,0.015
2,山西省，大同市,5,0.0083
3,吉林省，延边朝鲜族自治州,4,0.0067
4,广东省，汕尾市,4,0.0067
5,黑龙江省，齐齐哈尔市,3,0.005
6,四川省，乐山市,3,0.005
7,河南省，开封市,3,0.005
8,山东省，东营市,2,0.0033
9,贵州省，黔南布依族苗族自治州,2,0.0033
10,内蒙古自治区，赤峰市,2,0.0033
11,山西省，临汾市,2,0.0033
12,湖北省，黄石市,2,0.0033
13,河北省，邢台市,2,0.0033
14,河北省，张家口市,2,0.0033
15,湖北省，黄冈市,2,0.0033
16,山东省，枣庄市,2,0.0033
17,河北省，承德市,2,0.0033
18,安徽省，六安市,2,0.0033
19,湖南省，邵阳市,2,0.0033
20,四川省，南充市,2,0.0033
21,辽宁省，营口市,2,0.0033
22,广东省，阳江市,2,0.0033
23,四川省，眉山市,2,0.0033
24,山东省，聊城市,2,0.0033
25,湖北省，孝感市,2,0.0033
26,江西省，吉安市,2,0.0033
27,陕西省，渭南市,2,0.0033
28,山西省，晋中市,1,0.0017000000000000001
29,湖南省，常德市,1,0.0017000000000000001
30,黑龙江省，绥化市,1,0.0017000000000000001
31,河南省，安阳市,1,0.0017000000000000001
32,湖南省，益阳市,1,0.0017000000000000001
33,云南省，保山市,1,0.0017000000000000001
34,广西壮族自治区，北海市,1,0.0017000000000000001
35,安徽省，淮南市,1,0.0017000000000000001
36,安徽省，宣城市,1,0.0017000000000000001
37,河南省，许昌市,1,0.0017000000000000001
38,贵州省，毕节市,1,0.0017000000000000001
39,云南省，曲靖市,1,0.0017000000000000001
40,广东省，河源市,1,0.0017000000000000001
41,广西壮族自治区，玉林市,1,0.0017000000000000001
42,山东省，日照市,1,0.0017000000000000001
43,湖北省，恩施土家族苗族自治州,1,0.0017000000000000001
44,山西省，运城市,1,0.0017000000000000001
45,贵州省，六盘水市,1,0.0017000000000000001
46,安徽省，铜陵市,1,0.0017000000000000001
47,安徽省，亳州市,1,0.0017000000000000001
48,广西壮族自治区，梧州市,1,0.0017000000000000001
49,湖北省，十堰市,1,0.0017000000000000001
50,内蒙古自治区，鄂尔多斯市,1,0.0017000000000000001
51,山东省，菏泽市,1,0.0017000000000000001
52,陕西省，宝鸡市,1,0.0017000000000000001
53,广东省，韶关市,1,0.0017000000000000001
54,湖南省，娄底市,1,0.0017000000000000001
55,安徽省，宿州市,1,0.0017000000000000001
56,四川省，泸州市,1,0.0017000000000000001
